Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Vitacura                                                                                                                                                                                                                                                      , 299,    0.0000,    0.0000,   0,       0.0000000000, 2.24960222840e-001, 2.51727938652e-001, 3.49141540527e+001, 2.66145534515e+001, 4.32558864355e-001, 5.30850231647e-001,    0.4342,    0.5601,    0.0005,    0.0001,    0.0001,    0.0000,    0.0003,    0.0023, 3.54e+005, 6.31e+006,-7.06e+001,-3.34e+001
Quilicura                                                                                                                                                                                                                                                     , 300,    0.1581,    0.2000,   2,       0.0000000000, 2.00568139553e-001, 2.72578686476e-001, 4.22465972900e+001, 3.17535190582e+001, 2.90498942137e-001, 4.63786035776e-001,    0.2201,    0.7649,    0.0030,    0.0088,    0.0004,    0.0000,    0.0003,    0.0007, 3.38e+005, 6.31e+006,-7.07e+001,-3.34e+001
Huechuraba                                                                                                                                                                                                                                                    , 301,    0.2700,    0.2000,   1,       0.0000000000, 1.72495350242e-001, 2.71275579929e-001, 3.92068290710e+001, 2.98997879028e+001, 3.19187730551e-001, 5.25481522083e-001,    0.0695,    0.8564,    0.0112,    0.0579,    0.0007,    0.0000,    0.0001,    0.0013, 3.48e+005, 6.31e+006,-7.06e+001,-3.34e+001
Maipu                                                                                                                                                                                                                                                         , 302,    0.3416,    1.6000,   0,       0.0000000000, 2.04266309738e-001, 2.62657999992e-001, 3.85960884094e+001, 2.99402828217e+001, 3.46571177244e-001, 4.84604567289e-001,    0.1056,    0.8753,    0.0034,    0.0109,    0.0004,    0.0000,    0.0001,    0.0012, 3.32e+005, 6.29e+006,-7.08e+001,-3.35e+001
Pudahuel                                                                                                                                                                                                                                                      , 303,    0.1022,    0.2000,   0,       0.0000000000, 2.08300426602e-001, 2.85410612822e-001, 3.92548942566e+001, 2.89547977448e+001, 3.64225238562e-001, 5.30726969242e-001,    0.1124,    0.8353,    0.0114,    0.0345,    0.0016,    0.0000,    0.0001,    0.0012, 3.28e+005, 6.30e+006,-7.09e+001,-3.34e+001
San Bernardo                                                                                                                                                                                                                                                  , 304,    0.6889,    1.7000,   3,       0.0000000000, 2.52697527409e-001, 2.66625165939e-001, 3.56184082031e+001, 2.98034114838e+001, 4.23793286085e-001, 4.86455082893e-001,    0.1904,    0.7613,    0.0092,    0.0332,    0.0011,    0.0000,    0.0002,    0.0017, 3.40e+005, 6.28e+006,-7.07e+001,-3.36e+001
Tiltil                                                                                                                                                                                                                                                        , 305,    0.0000,    0.0000,   0,       0.0000000000, 1.90588966012e-001, 2.54337072372e-001, 3.77113113403e+001, 2.88102588654e+001, 3.57321768999e-001, 5.13892710209e-001,    0.0004,    0.9081,    0.0120,    0.0608,    0.0059,    0.0000,    0.0016,    0.0063, 3.25e+005, 6.34e+006,-7.09e+001,-3.31e+001
Lampa                                                                                                                                                                                                                                                         , 306,    0.2486,    0.1000,   1,       0.0000000000, 2.28784471750e-001, 2.85293519497e-001, 3.70202217102e+001, 2.80392265320e+001, 4.13882166147e-001, 5.49480319023e-001,    0.0011,    0.8890,    0.0061,    0.0913,    0.0049,    0.0000,    0.0025,    0.0018, 3.25e+005, 6.32e+006,-7.09e+001,-3.33e+001
Colina                                                                                                                                                                                                                                                        , 307,    0.8996,    0.7000,   2,       0.0000000000, 1.65187031031e-001, 2.05028206110e-001, 3.82256240845e+001, 2.93962268829e+001, 3.04178506136e-001, 4.38207060099e-001,    0.1424,    0.8015,    0.0075,    0.0401,    0.0014,    0.0000,    0.0004,    0.0029, 3.49e+005, 6.33e+006,-7.06e+001,-3.31e+001
Lo Barnechea                                                                                                                                                                                                                                                  , 308,    0.2676,    0.2000,   0,       0.0000000000, 1.14935368299e-001, 7.66359493136e-002, 3.19690799713e+001, 1.93560810089e+001, 2.41702735424e-001, 2.17646986246e-001,    0.2162,    0.7351,    0.0054,    0.0363,    0.0014,    0.0000,    0.0002,    0.0029, 3.73e+005, 6.31e+006,-7.04e+001,-3.33e+001
