Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Peumo                                                                                                                                                                                                                                                         ,  84,    2.1508,    0.3000,   2,       0.0000000000, 3.19508880377e-001, 2.98837482929e-001, 3.25479660034e+001, 2.64453315735e+001, 5.81051468849e-001, 5.97976744175e-001,    0.0128,    0.9004,    0.0159,    0.0575,    0.0060,    0.0000,    0.0005,    0.0029, 2.96e+005, 6.20e+006,-7.12e+001,-3.43e+001
Coltauco                                                                                                                                                                                                                                                      ,  85,   12.3244,    2.0000,   5,      10.0602826687, 3.35503846407e-001, 3.09105545282e-001, 3.07227172852e+001, 2.29505233765e+001, 6.31224095821e-001, 6.17689013481e-001,    0.0008,    0.9090,    0.0128,    0.0631,    0.0102,    0.0000,    0.0002,    0.0014, 3.09e+005, 6.21e+006,-7.11e+001,-3.43e+001
San Vicente                                                                                                                                                                                                                                                   ,  86,    0.7453,    0.3000,   0,       0.0000000000, 3.47870111465e-001, 3.16969245672e-001, 3.29854316711e+001, 2.52243213654e+001, 5.78019738197e-001, 6.06118083000e-001,    0.0013,    0.9262,    0.0144,    0.0419,    0.0103,    0.0000,    0.0006,    0.0017, 3.05e+005, 6.18e+006,-7.11e+001,-3.45e+001
Santa Cruz                                                                                                                                                                                                                                                    ,  87,    0.9263,    0.3000,   1,       0.0000000000, 2.90504187346e-001, 3.37336689234e-001, 3.58314170837e+001, 2.56118450165e+001, 4.98524308205e-001, 6.02132678032e-001,    0.0733,    0.8698,    0.0139,    0.0282,    0.0084,    0.0000,    0.0001,    0.0031, 2.80e+005, 6.16e+006,-7.14e+001,-3.46e+001
Nancagua                                                                                                                                                                                                                                                      ,  88,    0.0000,    0.0000,   0,       0.0000000000, 3.56926441193e-001, 2.93782263994e-001, 3.18757534027e+001, 2.58791427612e+001, 6.06745839119e-001, 5.59692502022e-001,    0.0138,    0.9274,    0.0131,    0.0362,    0.0060,    0.0000,    0.0000,    0.0020, 2.99e+005, 6.16e+006,-7.12e+001,-3.47e+001
Palmilla                                                                                                                                                                                                                                                      ,  89,    0.8929,    0.1000,   1,       0.0000000000, 3.60810726881e-001, 3.13480943441e-001, 3.38256759644e+001, 2.69409961700e+001, 5.78896462917e-001, 5.63031017780e-001,    0.0031,    0.9061,    0.0219,    0.0526,    0.0082,    0.0000,    0.0003,    0.0031, 2.84e+005, 6.18e+006,-7.14e+001,-3.45e+001
Peralillo                                                                                                                                                                                                                                                     ,  90,    0.0000,    0.0000,   0,       0.0000000000, 2.78868854046e-001, 3.36003661156e-001, 3.90901222229e+001, 2.72936439514e+001, 4.54035758972e-001, 5.66735744476e-001,    0.0094,    0.9416,    0.0094,    0.0285,    0.0058,    0.0000,    0.0000,    0.0029, 2.71e+005, 6.18e+006,-7.15e+001,-3.45e+001
Pumanque                                                                                                                                                                                                                                                      ,  91,    0.0000,    0.0000,   0,       0.0000000000, 2.57078826427e-001, 3.66456001997e-001, 3.77824668884e+001, 2.41659336090e+001, 4.47080940008e-001, 6.37874782085e-001,    0.0000,    0.9124,    0.0018,    0.0560,    0.0226,    0.0000,    0.0009,    0.0018, 2.53e+005, 6.17e+006,-7.17e+001,-3.46e+001
Paredones                                                                                                                                                                                                                                                     ,  92,    0.0000,    0.0000,   0,       0.0000000000, 2.78213143349e-001, 3.30167293549e-001, 3.32809906006e+001, 2.25103988647e+001, 5.43014705181e-001, 6.30673229694e-001,    0.0004,    0.9393,    0.0083,    0.0229,    0.0154,    0.0000,    0.0000,    0.0087, 2.33e+005, 6.16e+006,-7.19e+001,-3.47e+001
Lolol                                                                                                                                                                                                                                                         ,  93,    0.0000,    0.0000,   0,       0.0000000000, 2.54304647446e-001, 3.54283362627e-001, 3.71419868469e+001, 2.41384563446e+001, 4.41726088524e-001, 6.14781618118e-001,    0.0000,    0.9557,    0.0051,    0.0260,    0.0076,    0.0000,    0.0000,    0.0020, 2.58e+005, 6.15e+006,-7.16e+001,-3.48e+001
Chepica                                                                                                                                                                                                                                                       ,  94,    0.0000,    0.0000,   0,       0.0000000000, 3.00075709820e-001, 3.34102600813e-001, 3.61834297180e+001, 2.58388366699e+001, 4.93666350842e-001, 5.81576228142e-001,    0.0003,    0.9149,    0.0315,    0.0335,    0.0169,    0.0000,    0.0005,    0.0013, 2.84e+005, 6.15e+006,-7.14e+001,-3.48e+001
Chimbarongo                                                                                                                                                                                                                                                   ,  95,    0.3094,    0.1000,   1,       0.0000000000, 3.53242695332e-001, 2.96685874462e-001, 3.05186405182e+001, 2.31676101685e+001, 6.11661195755e-001, 5.81867635250e-001,    0.0119,    0.8917,    0.0114,    0.0714,    0.0071,    0.0000,    0.0007,    0.0024, 3.19e+005, 6.15e+006,-7.10e+001,-3.48e+001
Placilla                                                                                                                                                                                                                                                      ,  96,    0.0000,    0.0000,   0,       0.0000000000, 3.55941325426e-001, 2.97615945339e-001, 3.13064155579e+001, 2.38302440643e+001, 5.98915338516e-001, 5.82619071007e-001,    0.0151,    0.8491,    0.0188,    0.0987,    0.0135,    0.0000,    0.0024,    0.0008, 3.09e+005, 6.17e+006,-7.11e+001,-3.46e+001
San Fernando                                                                                                                                                                                                                                                  ,  97,    0.1569,    0.1000,   0,       0.0000000000, 1.57740816474e-001, 1.04514136910e-001, 2.93051319122e+001, 1.49425811768e+001, 3.20019245148e-001, 2.69088119268e-001,    0.1303,    0.8188,    0.0087,    0.0302,    0.0049,    0.0000,    0.0004,    0.0038, 3.53e+005, 6.15e+006,-7.06e+001,-3.47e+001
Quinta de Tilcoco                                                                                                                                                                                                                                             ,  98,    0.8787,    0.1000,   1,       0.0000000000, 3.49866449833e-001, 2.70604610443e-001, 3.47481040955e+001, 2.97361316681e+001, 5.89063584805e-001, 5.50642609596e-001,    0.0010,    0.8802,    0.0235,    0.0804,    0.0105,    0.0000,    0.0000,    0.0019, 3.16e+005, 6.20e+006,-7.10e+001,-3.44e+001
Malloa                                                                                                                                                                                                                                                        ,  99,    0.7769,    0.1000,   1,       0.0000000000, 3.21341633797e-001, 3.00035864115e-001, 3.26036300659e+001, 2.38312416077e+001, 5.73309302330e-001, 6.03480756283e-001,    0.0010,    0.8582,    0.0160,    0.1030,    0.0142,    0.0000,    0.0005,    0.0026, 3.28e+005, 6.18e+006,-7.09e+001,-3.45e+001
Rengo                                                                                                                                                                                                                                                         , 100,    0.7869,    0.4000,   1,       0.0000000000, 2.51835137606e-001, 1.96047201753e-001, 3.12953376770e+001, 2.10426712036e+001, 4.74430143833e-001, 4.38171744347e-001,    0.0480,    0.8754,    0.0115,    0.0557,    0.0048,    0.0000,    0.0001,    0.0024, 3.42e+005, 6.19e+006,-7.07e+001,-3.45e+001
Coinco                                                                                                                                                                                                                                                        , 101,    1.5662,    0.1000,   1,       0.0000000000, 3.47330421209e-001, 2.90752589703e-001, 3.46399345398e+001, 2.91627197266e+001, 5.27647316456e-001, 5.38820624352e-001,    0.0205,    0.8834,    0.0059,    0.0734,    0.0135,    0.0000,    0.0000,    0.0022, 3.19e+005, 6.20e+006,-7.10e+001,-3.43e+001
Requinoa                                                                                                                                                                                                                                                      , 102,    0.9025,    0.2000,   1,       0.0000000000, 2.38518342376e-001, 2.18671098351e-001, 3.28579673767e+001, 2.40824279785e+001, 4.79330480099e-001, 4.93725866079e-001,    0.0002,    0.8939,    0.0232,    0.0613,    0.0097,    0.0000,    0.0008,    0.0047, 3.47e+005, 6.20e+006,-7.07e+001,-3.43e+001
Donihue                                                                                                                                                                                                                                                       , 104,    4.7293,    0.8000,   2,       3.8365349502, 3.17075341940e-001, 3.13926041126e-001, 3.17095298767e+001, 2.31653270721e+001, 5.85775852203e-001, 6.44406199455e-001,    0.0116,    0.9045,    0.0116,    0.0588,    0.0048,    0.0000,    0.0000,    0.0019, 3.23e+005, 6.21e+006,-7.09e+001,-3.42e+001
Rancagua                                                                                                                                                                                                                                                      , 105,    0.5132,    1.1000,   2,       0.0000000000, 3.04215878248e-001, 2.52051651478e-001, 3.28249816895e+001, 2.68465347290e+001, 5.45735716820e-001, 5.09533286095e-001,    0.2240,    0.7425,    0.0099,    0.0153,    0.0016,    0.0000,    0.0001,    0.0033, 3.32e+005, 6.22e+006,-7.08e+001,-3.41e+001
Machali                                                                                                                                                                                                                                                       , 106,    1.3972,    0.4000,   1,       0.0000000000, 8.11033248901e-002, 1.44884791225e-002, 2.86813869476e+001, 1.25794277191e+001, 1.74441680312e-001, 1.03808686137e-001,    0.0089,    0.9288,    0.0128,    0.0401,    0.0035,    0.0000,    0.0003,    0.0029, 3.79e+005, 6.20e+006,-7.03e+001,-3.43e+001
Codegua                                                                                                                                                                                                                                                       , 107,    1.8525,    0.2000,   2,       0.0000000000, 2.39938035607e-001, 1.84803783894e-001, 3.23394546509e+001, 2.44476737976e+001, 4.39951151609e-001, 4.13338422775e-001,    0.0003,    0.9152,    0.0113,    0.0545,    0.0073,    0.0000,    0.0020,    0.0047, 3.57e+005, 6.23e+006,-7.05e+001,-3.41e+001
Graneros                                                                                                                                                                                                                                                      , 108,    1.1556,    0.3000,   1,       0.0000000000, 3.29829841852e-001, 2.67037361860e-001, 3.21680259705e+001, 2.70208568573e+001, 5.97137033939e-001, 5.33339858055e-001,    0.0616,    0.8665,    0.0140,    0.0465,    0.0029,    0.0000,    0.0009,    0.0043, 3.39e+005, 6.23e+006,-7.07e+001,-3.41e+001
Mostazal                                                                                                                                                                                                                                                      , 109,    0.4573,    0.1000,   0,       0.0000000000, 2.18837484717e-001, 1.83979585767e-001, 3.27733039856e+001, 2.26639308929e+001, 4.30839926004e-001, 4.15428876877e-001,    0.0239,    0.8866,    0.0177,    0.0540,    0.0083,    0.0000,    0.0020,    0.0045, 3.55e+005, 6.24e+006,-7.06e+001,-3.40e+001
Romeral                                                                                                                                                                                                                                                       , 110,    0.0000,    0.0000,   0,       0.0000000000, 1.90242961049e-001, 1.07517018914e-001, 3.07115554810e+001, 1.62395992279e+001, 3.74879091978e-001, 2.88993924856e-001,    0.0046,    0.8754,    0.0174,    0.0744,    0.0164,    0.0000,    0.0008,    0.0074, 3.44e+005, 6.12e+006,-7.07e+001,-3.51e+001
Sagrada Familia                                                                                                                                                                                                                                               , 111,    0.0000,    0.0000,   0,       0.0000000000, 2.93218106031e-001, 3.37661176920e-001, 3.56408119202e+001, 2.48192768097e+001, 4.97360557318e-001, 5.94769895077e-001,    0.0039,    0.9168,    0.0206,    0.0447,    0.0103,    0.0000,    0.0002,    0.0014, 2.73e+005, 6.11e+006,-7.15e+001,-3.51e+001
Curico                                                                                                                                                                                                                                                        , 112,    0.1672,    0.2000,   0,       0.0000000000, 2.48657867312e-001, 1.74948096275e-001, 3.03470287323e+001, 1.74095478058e+001, 4.67963725328e-001, 3.91188114882e-001,    0.0237,    0.9222,    0.0079,    0.0336,    0.0031,    0.0000,    0.0005,    0.0032, 3.27e+005, 6.10e+006,-7.09e+001,-3.52e+001
Teno                                                                                                                                                                                                                                                          , 113,    0.0000,    0.0000,   0,       0.0000000000, 3.54950487614e-001, 3.32808107138e-001, 3.04588394165e+001, 2.25773200989e+001, 6.23899996281e-001, 6.39959812164e-001,    0.0033,    0.8920,    0.0128,    0.0715,    0.0150,    0.0000,    0.0003,    0.0028, 3.15e+005, 6.14e+006,-7.10e+001,-3.49e+001
Rauco                                                                                                                                                                                                                                                         , 114,    0.0000,    0.0000,   0,       0.0000000000, 2.57926374674e-001, 3.50505530834e-001, 3.79343376160e+001, 2.47972984314e+001, 4.59495484829e-001, 6.18517756462e-001,    0.0000,    0.9143,    0.0068,    0.0589,    0.0128,    0.0000,    0.0011,    0.0004, 2.78e+005, 6.13e+006,-7.14e+001,-3.49e+001
Licanten                                                                                                                                                                                                                                                      , 115,    0.0000,    0.0000,   0,       0.0000000000, 3.16859871149e-001, 3.60557258129e-001, 2.87347469330e+001, 1.93068809509e+001, 6.52157783508e-001, 7.10772514343e-001,    0.0173,    0.8538,    0.0093,    0.0822,    0.0117,    0.0000,    0.0007,    0.0166, 2.21e+005, 6.13e+006,-7.21e+001,-3.50e+001
Molina                                                                                                                                                                                                                                                        , 116,    0.0000,    0.0000,   0,       0.0000000000, 2.28683248162e-001, 1.45520001650e-001, 3.14554500580e+001, 1.56653308868e+001, 4.12550479174e-001, 3.33723902702e-001,    0.0123,    0.9190,    0.0141,    0.0401,    0.0067,    0.0000,    0.0004,    0.0034, 3.26e+005, 6.09e+006,-7.09e+001,-3.54e+001
San Clemente                                                                                                                                                                                                                                                  , 117,    0.0000,    0.0000,   0,       0.0000000000, 1.89658686519e-001, 8.65845903754e-002, 3.19935112000e+001, 1.31434326172e+001, 3.56318235397e-001, 2.42014929652e-001,    0.0003,    0.9210,    0.0104,    0.0356,    0.0105,    0.0000,    0.0003,    0.0026, 3.33e+005, 6.05e+006,-7.08e+001,-3.57e+001
Pelarco                                                                                                                                                                                                                                                       , 118,    1.3763,    0.1000,   1,       0.0000000000, 3.44017922878e-001, 3.76037627459e-001, 3.27716178894e+001, 2.26288204193e+001, 5.91258823872e-001, 6.60078465939e-001,    0.0156,    0.9219,    0.0196,    0.0335,    0.0054,    0.0000,    0.0009,    0.0013, 2.86e+005, 6.08e+006,-7.14e+001,-3.54e+001
San Rafael                                                                                                                                                                                                                                                    , 119,    0.0000,    0.0000,   0,       0.0000000000, 3.09481292963e-001, 3.87817651033e-001, 3.53609962463e+001, 2.38584918976e+001, 5.22783696651e-001, 6.45835816860e-001,    0.0025,    0.9163,    0.0113,    0.0444,    0.0205,    0.0000,    0.0000,    0.0029, 2.73e+005, 6.09e+006,-7.15e+001,-3.53e+001
Rio Claro                                                                                                                                                                                                                                                     , 120,    0.0000,    0.0000,   0,       0.0000000000, 3.38159561157e-001, 3.67247343063e-001, 3.32188911438e+001, 2.32967681885e+001, 5.83820998669e-001, 6.48096561432e-001,    0.0003,    0.9417,    0.0153,    0.0215,    0.0150,    0.0000,    0.0016,    0.0026, 2.94e+005, 6.10e+006,-7.13e+001,-3.53e+001
Talca                                                                                                                                                                                                                                                         , 121,    0.0000,    0.0000,   0,       0.0000000000, 3.18035930395e-001, 3.18585366011e-001, 3.44804573059e+001, 2.52748260498e+001, 5.30138909817e-001, 5.55385410786e-001,    0.0615,    0.8848,    0.0145,    0.0271,    0.0016,    0.0000,    0.0007,    0.0052, 2.64e+005, 6.08e+006,-7.16e+001,-3.54e+001
Pencahue                                                                                                                                                                                                                                                      , 122,    0.0000,    0.0000,   0,       0.0000000000, 3.06113958359e-001, 3.50254684687e-001, 3.43018913269e+001, 2.24515933990e+001, 5.53296685219e-001, 6.52496933937e-001,    0.0004,    0.8881,    0.0243,    0.0565,    0.0122,    0.0000,    0.0008,    0.0114, 2.44e+005, 6.09e+006,-7.18e+001,-3.53e+001
Maule                                                                                                                                                                                                                                                         , 123,    0.0000,    0.0000,   0,       0.0000000000, 3.13170313835e-001, 3.38159114122e-001, 3.56520195007e+001, 2.45985622406e+001, 5.25093019009e-001, 5.86109220982e-001,    0.0004,    0.8559,    0.0143,    0.1104,    0.0125,    0.0000,    0.0004,    0.0020, 2.54e+005, 6.07e+006,-7.17e+001,-3.55e+001
Colbun                                                                                                                                                                                                                                                        , 124,    0.0000,    0.0000,   0,       0.0000000000, 1.90100073814e-001, 7.55641311407e-002, 3.28906593323e+001, 1.39914569855e+001, 3.73118281364e-001, 2.13945299387e-001,    0.0063,    0.9390,    0.0126,    0.0281,    0.0083,    0.0000,    0.0002,    0.0036, 3.22e+005, 6.01e+006,-7.10e+001,-3.61e+001
Linares                                                                                                                                                                                                                                                       , 125,    0.2402,    0.2000,   1,       0.0000000000, 3.13588768244e-001, 2.44969457388e-001, 2.84514980316e+001, 1.89678764343e+001, 5.79686224461e-001, 5.11046409607e-001,    0.0099,    0.9346,    0.0145,    0.0300,    0.0043,    0.0000,    0.0003,    0.0028, 2.90e+005, 6.02e+006,-7.13e+001,-3.60e+001
Longavi                                                                                                                                                                                                                                                       , 126,    0.0000,    0.0000,   0,       0.0000000000, 3.46799194813e-001, 2.80060619116e-001, 2.93523693085e+001, 2.04151191711e+001, 6.13935649395e-001, 5.61957180500e-001,    0.0016,    0.9282,    0.0098,    0.0463,    0.0091,    0.0000,    0.0009,    0.0022, 2.80e+005, 6.00e+006,-7.14e+001,-3.61e+001
Parral                                                                                                                                                                                                                                                        , 127,    0.0000,    0.0000,   0,       0.0000000000, 3.30256223679e-001, 2.95716762543e-001, 3.08797187805e+001, 2.08045368195e+001, 5.97614765167e-001, 5.86064934731e-001,    0.0321,    0.9195,    0.0109,    0.0241,    0.0054,    0.0000,    0.0003,    0.0039, 2.62e+005, 5.98e+006,-7.16e+001,-3.63e+001
Retiro                                                                                                                                                                                                                                                        , 128,    0.0000,    0.0000,   0,       0.0000000000, 2.97968775034e-001, 3.63282412291e-001, 3.64584960938e+001, 2.36409206390e+001, 4.80191797018e-001, 6.29383504391e-001,    0.0005,    0.9408,    0.0154,    0.0294,    0.0091,    0.0000,    0.0005,    0.0020, 2.45e+005, 6.01e+006,-7.18e+001,-3.60e+001
Cauquenes                                                                                                                                                                                                                                                     , 129,    0.0000,    0.0000,   0,       0.0000000000, 2.72750735283e-001, 3.38036537170e-001, 3.68691482544e+001, 2.21583595276e+001, 5.02123475075e-001, 6.43987357616e-001,    0.0227,    0.9327,    0.0139,    0.0151,    0.0074,    0.0000,    0.0005,    0.0031, 2.04e+005, 6.01e+006,-7.23e+001,-3.60e+001
Pelluhue                                                                                                                                                                                                                                                      , 130,    0.0000,    0.0000,   0,       0.0000000000, 3.25399965048e-001, 3.44521939754e-001, 2.73003616333e+001, 1.77307701111e+001, 6.82300567627e-001, 7.00355947018e-001,    0.0017,    0.9331,    0.0036,    0.0253,    0.0127,    0.0000,    0.0003,    0.0102, 1.74e+005, 6.02e+006,-7.26e+001,-3.59e+001
Chanco                                                                                                                                                                                                                                                        , 131,    0.0000,    0.0000,   0,       0.0000000000, 2.98857897520e-001, 3.49144756794e-001, 3.02782173157e+001, 2.01380329132e+001, 6.11356377602e-001, 6.90204441547e-001,    0.0011,    0.9381,    0.0181,    0.0256,    0.0078,    0.0000,    0.0000,    0.0068, 1.85e+005, 6.04e+006,-7.25e+001,-3.57e+001
Empedrado                                                                                                                                                                                                                                                     , 132,    0.0000,    0.0000,   0,       0.0000000000, 3.27835589647e-001, 3.34423154593e-001, 3.04743022919e+001, 1.97178459167e+001, 6.79425299168e-001, 7.14070022106e-001,    0.0035,    0.9023,    0.0091,    0.0635,    0.0112,    0.0000,    0.0000,    0.0091, 2.02e+005, 6.05e+006,-7.23e+001,-3.56e+001
San Javier                                                                                                                                                                                                                                                    , 133,    0.0000,    0.0000,   0,       0.0000000000, 2.94022530317e-001, 3.33523750305e-001, 3.57636909485e+001, 2.27704849243e+001, 5.23779094219e-001, 6.27712666988e-001,    0.0156,    0.9235,    0.0160,    0.0352,    0.0038,    0.0000,    0.0000,    0.0028, 2.35e+005, 6.05e+006,-7.19e+001,-3.56e+001
Constitucion                                                                                                                                                                                                                                                  , 134,    0.0000,    0.0000,   0,       0.0000000000, 3.26994389296e-001, 3.35530012846e-001, 2.92006740570e+001, 1.94287490845e+001, 6.90671503544e-001, 7.15686857700e-001,    0.1629,    0.7341,    0.0157,    0.0468,    0.0067,    0.0000,    0.0001,    0.0093, 2.02e+005, 6.08e+006,-7.23e+001,-3.54e+001
Curepto                                                                                                                                                                                                                                                       , 135,    0.0000,    0.0000,   0,       0.0000000000, 3.05999726057e-001, 3.56737285852e-001, 3.32098045349e+001, 2.14699211121e+001, 5.90330183506e-001, 6.78011715412e-001,    0.0013,    0.9093,    0.0120,    0.0481,    0.0214,    0.0000,    0.0000,    0.0056, 2.31e+005, 6.11e+006,-7.20e+001,-3.51e+001
Hualane                                                                                                                                                                                                                                                       , 136,    0.0000,    0.0000,   0,       0.0000000000, 2.73090600967e-001, 3.60503166914e-001, 3.66010017395e+001, 2.35536422729e+001, 4.96283859015e-001, 6.45163595676e-001,    0.0019,    0.9194,    0.0181,    0.0477,    0.0081,    0.0000,    0.0003,    0.0019, 2.53e+005, 6.13e+006,-7.17e+001,-3.50e+001
Vichuquen                                                                                                                                                                                                                                                     , 137,    0.0000,    0.0000,   0,       0.0000000000, 2.97264963388e-001, 3.42395514250e-001, 3.03852539063e+001, 1.99190311432e+001, 6.17439448833e-001, 6.88504219055e-001,    0.0011,    0.9216,    0.0103,    0.0403,    0.0143,    0.0000,    0.0007,    0.0073, 2.24e+005, 6.14e+006,-7.20e+001,-3.48e+001
Yerbas Buenas                                                                                                                                                                                                                                                 , 138,    0.0000,    0.0000,   0,       0.0000000000, 4.10759776831e-001, 3.47981691360e-001, 3.06448783875e+001, 2.39902343750e+001, 6.37691378593e-001, 6.21344506741e-001,    0.0004,    0.8901,    0.0142,    0.0703,    0.0198,    0.0000,    0.0006,    0.0013, 2.70e+005, 6.05e+006,-7.15e+001,-3.57e+001
Villa Alegre                                                                                                                                                                                                                                                  , 139,    0.0000,    0.0000,   0,       0.0000000000, 4.15625512600e-001, 3.18513900042e-001, 3.20509948730e+001, 2.52203330994e+001, 6.49311184883e-001, 5.76269268990e-001,    0.0031,    0.9280,    0.0178,    0.0389,    0.0083,    0.0000,    0.0002,    0.0020, 2.57e+005, 6.05e+006,-7.17e+001,-3.57e+001
Cobquecura                                                                                                                                                                                                                                                    , 140,    0.0000,    0.0000,   0,       0.0000000000, 3.63036394119e-001, 3.66115421057e-001, 2.61512470245e+001, 1.72764377594e+001, 7.15851306915e-001, 7.48802602291e-001,    0.0000,    0.8946,    0.0267,    0.0403,    0.0244,    0.0000,    0.0005,    0.0100, 1.65e+005, 5.99e+006,-7.27e+001,-3.62e+001
Quirihue                                                                                                                                                                                                                                                      , 141,    0.0000,    0.0000,   0,       0.0000000000, 3.17503273487e-001, 3.36668789387e-001, 3.25723915100e+001, 2.04125881195e+001, 6.07328176498e-001, 6.78605616093e-001,    0.0000,    0.9447,    0.0146,    0.0245,    0.0102,    0.0000,    0.0006,    0.0047, 1.82e+005, 5.98e+006,-7.25e+001,-3.62e+001
Ninhue                                                                                                                                                                                                                                                        , 142,    0.0000,    0.0000,   0,       0.0000000000, 2.76249527931e-001, 3.45000445843e-001, 3.58097457886e+001, 2.15071392059e+001, 5.04922568798e-001, 6.48999273777e-001,    0.0000,    0.9582,    0.0073,    0.0162,    0.0120,    0.0000,    0.0000,    0.0016, 1.94e+005, 5.97e+006,-7.24e+001,-3.64e+001
Treguaco                                                                                                                                                                                                                                                      , 143,    0.0000,    0.0000,   0,       0.0000000000, 3.32442402840e-001, 3.37980479002e-001, 3.03098754883e+001, 1.91902103424e+001, 6.31092488766e-001, 6.88332080841e-001,    0.0000,    0.9104,    0.0090,    0.0538,    0.0224,    0.0000,    0.0000,    0.0022, 1.72e+005, 5.96e+006,-7.27e+001,-3.64e+001
San Carlos                                                                                                                                                                                                                                                    , 144,    0.0000,    0.0000,   0,       0.0000000000, 3.26641380787e-001, 3.70953738689e-001, 3.48347282410e+001, 2.23532505035e+001, 5.30682682991e-001, 6.59363150597e-001,    0.0150,    0.9374,    0.0120,    0.0233,    0.0068,    0.0000,    0.0007,    0.0032, 2.29e+005, 5.97e+006,-7.20e+001,-3.64e+001
San Nicolas                                                                                                                                                                                                                                                   , 145,    0.0000,    0.0000,   0,       0.0000000000, 2.80079960823e-001, 3.81852030754e-001, 3.64692726135e+001, 2.18478088379e+001, 4.77961719036e-001, 6.68476998806e-001,    0.0000,    0.9067,    0.0136,    0.0415,    0.0339,    0.0000,    0.0000,    0.0017, 2.11e+005, 5.96e+006,-7.22e+001,-3.65e+001
Niquen                                                                                                                                                                                                                                                        , 146,    0.0000,    0.0000,   0,       0.0000000000, 3.21021467447e-001, 3.47698539495e-001, 3.43452568054e+001, 2.24759254456e+001, 5.33062875271e-001, 6.38194441795e-001,    0.0003,    0.9282,    0.0108,    0.0307,    0.0229,    0.0000,    0.0008,    0.0013, 2.40e+005, 5.98e+006,-7.19e+001,-3.63e+001
San Fabian                                                                                                                                                                                                                                                    , 147,    0.0000,    0.0000,   0,       0.0000000000, 2.94120579958e-001, 1.70880436897e-001, 2.93492774963e+001, 1.61246776581e+001, 5.61360657215e-001, 3.77424210310e-001,    0.0008,    0.9477,    0.0032,    0.0301,    0.0063,    0.0000,    0.0000,    0.0063, 2.95e+005, 5.95e+006,-7.13e+001,-3.66e+001
Coihueco                                                                                                                                                                                                                                                      , 148,    0.0000,    0.0000,   0,       0.0000000000, 3.68036299944e-001, 2.83881813288e-001, 2.86080894470e+001, 1.74469127655e+001, 6.47473514080e-001, 5.62524557114e-001,    0.0001,    0.9284,    0.0097,    0.0436,    0.0129,    0.0000,    0.0001,    0.0026, 2.69e+005, 5.94e+006,-7.16e+001,-3.67e+001
Chillan                                                                                                                                                                                                                                                       , 149,    0.0000,    0.0000,   0,       0.0000000000, 3.33204567432e-001, 3.67582023144e-001, 3.43951911926e+001, 2.19435691833e+001, 5.45096457005e-001, 6.51482522488e-001,    0.0351,    0.9238,    0.0139,    0.0205,    0.0025,    0.0000,    0.0003,    0.0047, 2.20e+005, 5.94e+006,-7.21e+001,-3.66e+001
Chillan Viejo                                                                                                                                                                                                                                                 , 150,    0.0000,    0.0000,   0,       0.0000000000, 2.79061943293e-001, 3.89982372522e-001, 3.66474800110e+001, 2.11543006897e+001, 4.86909776926e-001, 6.94941580296e-001,    0.0007,    0.9258,    0.0134,    0.0500,    0.0051,    0.0000,    0.0004,    0.0014, 2.14e+005, 5.94e+006,-7.22e+001,-3.67e+001
Portezuelo                                                                                                                                                                                                                                                    , 151,    0.0000,    0.0000,   0,       0.0000000000, 2.82481461763e-001, 3.19121837616e-001, 3.45615959167e+001, 2.14372768402e+001, 5.38670599461e-001, 6.29091143608e-001,    0.0006,    0.9181,    0.0269,    0.0344,    0.0097,    0.0000,    0.0000,    0.0046, 1.90e+005, 5.95e+006,-7.25e+001,-3.65e+001
Coelemu                                                                                                                                                                                                                                                       , 152,    0.0000,    0.0000,   0,       0.0000000000, 3.31221431494e-001, 3.26241046190e-001, 2.98089580536e+001, 1.99273319244e+001, 6.28405332565e-001, 6.68342709541e-001,    0.0017,    0.9444,    0.0097,    0.0294,    0.0072,    0.0000,    0.0004,    0.0044, 1.64e+005, 5.95e+006,-7.28e+001,-3.65e+001
Tome                                                                                                                                                                                                                                                          , 153,    0.0000,    0.0000,   0,       0.0000000000, 3.80852252245e-001, 3.59624981880e-001, 2.59099349976e+001, 1.78677883148e+001, 7.27357089520e-001, 7.36228585243e-001,    0.0597,    0.8815,    0.0116,    0.0337,    0.0040,    0.0000,    0.0001,    0.0025, 1.55e+005, 5.94e+006,-7.29e+001,-3.66e+001
Ranquil                                                                                                                                                                                                                                                       , 154,    0.0000,    0.0000,   0,       0.0000000000, 3.53156328201e-001, 3.29155117273e-001, 3.09541835785e+001, 2.04293155670e+001, 6.49760484695e-001, 6.70781970024e-001,    0.0000,    0.9374,    0.0103,    0.0401,    0.0083,    0.0000,    0.0000,    0.0010, 1.79e+005, 5.94e+006,-7.26e+001,-3.66e+001
Florida                                                                                                                                                                                                                                                       , 155,    0.0000,    0.0000,   0,       0.0000000000, 3.63959759474e-001, 3.46650272608e-001, 2.96878623962e+001, 1.94214324951e+001, 6.72291755676e-001, 7.08369195461e-001,    0.0000,    0.8853,    0.0110,    0.0325,    0.0102,    0.0000,    0.0003,    0.0046, 1.68e+005, 5.92e+006,-7.27e+001,-3.68e+001
